Date : 2023-07-01 16:35:07
Directory : c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl
Total : 303 files,  781351 codes, 98956 comments, 13349 blanks, all 893656 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C          |        190 |    712,890 |     79,366 |      8,330 |    800,586 |
| C++        |        104 |     68,165 |     19,567 |      4,926 |     92,658 |
| Markdown   |          3 |        169 |          0 |         77 |        246 |
| YAML       |          1 |         68 |         11 |         11 |         90 |
| Properties |          3 |         28 |          0 |          3 |         31 |
| JSON       |          1 |         25 |          3 |          0 |         28 |
| Ini        |          1 |          6 |          9 |          2 |         17 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        303 |    781,351 |     98,956 |     13,349 |    893,656 |
